Country,Data type,COVID-19 deaths,Expected deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
South Korea,w,5625,618071,8001,4942,1.6,1.42,15.6,2.6
Spain,w,91025,849319,104445,9745,10.7,1.15,223.4,24.4
Suriname,m,1189,7921,48,111,0.4,0.04,8.2,1.2
Sweden,w,15376,181180,9937,1677,5.9,0.65,98.4,10.8
Switzerland,w,11927,136323,11526,1724,6.7,0.97,133.2,16.8
Taiwan,m,850,360312,-3424,9087,0.4,nan,-14.4,-1.9
Tajikistan,m,125,65344,9880,1003,9.9,79.04,103.6,30.2
Thailand,m,21708,1001968,63120,19384,3.3,2.91,90.4,12.7
Transnistria,m,1932,13603,2635,423,6.2,1.36,566.4,38.8
Tunisia,m,23538,nan,nan,nan,nan,nan,nan,nan
Ukraine,m,96089,1152202,178896,21679,8.3,1.86,428.4,31.0
United Kingdom,w,149821,1225433,136934,14540,9.4,0.91,201.7,22.2
United States,w,819997,5914600,986082,25145,39.2,1.20,297.9,33.2
Uruguay,m,6169,70214,3023,1536,2.0,0.49,87.0,8.7
Uzbekistan,m,1485,314447,35730,7086,5.0,24.06,106.8,22.8
