,Январь 2020,Февраль 2020,Март 2020,Апрель 2020,Май 2020,Июнь 2020,Июль 2020,Август 2020,Сентябрь 2020,Октябрь 2020,Ноябрь 2020,Декабрь 2020,Январь 2021,Февраль 2021,Март 2021,Апрель 2021,Май 2021,Июнь 2021,Июль 2021,Август 2021,Сентябрь 2021,Октябрь 2021,Ноябрь 2021,Декабрь 2021,Январь 2022,Февраль 2022,Март 2022,Апрель 2022,Май 2022,Июнь 2022,Июль 2022,Август 2022,Сентябрь 2022,Октябрь 2022,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023
Ленинградская область,-24,25,90,175,600,852,262,284,365,457,833,1358,1183,550,412,353,370,1276,1326,773,649,847,1067,916,751,900,500,106,202,202,-8,140,298,193,163,556,269,-50,239,61
Мурманская область,29,-1,48,39,7,8,214,183,168,231,380,375,313,231,139,109,64,143,582,453,311,333,385,339,159,251,67,24,-31,13,-46,-6,24,49,10,190,73,-30,44,-6
Новгородская область,12,47,19,-70,11,204,34,69,38,123,258,515,448,241,149,81,120,333,377,233,402,597,511,321,217,294,120,-32,5,30,-39,41,19,16,59,87,53,12,82,-14
Псковская область,-78,29,-20,33,72,162,54,132,115,119,314,692,323,201,99,165,183,167,277,213,328,578,493,425,142,306,176,61,37,28,-31,47,189,23,18,232,28,12,26,52
Санкт-Петербург,-178,275,12,501,2053,2159,787,704,1017,1598,2508,3423,2885,1293,1139,860,1227,3833,4049,1327,1847,2681,2720,2517,1586,2596,624,-44,-25,121,-95,384,833,334,266,1329,156,-249,240,-142
Республика Адыгея,-19,10,-20,-19,-54,18,-10,39,69,109,150,335,168,98,41,16,2,-13,156,298,184,277,313,269,162,267,154,-5,8,-27,-42,25,75,3,22,60,9,-31,-19,-29
Республика Калмыкия,-2,5,-7,-7,14,24,50,2,105,95,96,85,71,66,60,22,44,30,120,265,150,97,138,59,48,69,62,36,24,-19,-2,50,12,-13,0,30,17,-8,26,-13
Республика Крым,1,231,106,-79,-48,36,277,191,567,979,1165,1415,779,333,260,321,386,464,1334,915,1036,2153,1683,788,495,886,803,213,131,58,103,158,487,241,117,190,176,24,93,107
Краснодарский край,-84,420,249,281,435,362,896,1007,1212,2243,2869,4603,2840,1160,1189,1020,664,643,3104,4343,3153,4268,3932,2934,1834,2530,2090,611,437,33,66,564,1048,860,569,1377,699,5,992,115
Астраханская область,66,35,-2,31,49,116,290,230,281,489,543,421,366,150,146,90,144,146,798,1248,571,699,690,406,259,366,39,36,104,47,26,185,171,41,20,264,69,21,121,31
Волгоградская область,-192,126,-18,7,131,431,717,422,777,1942,1565,1387,806,620,564,539,442,514,1274,2278,1944,3090,2100,920,285,834,568,52,70,-268,-119,394,453,136,109,652,99,37,264,-76
Ростовская область,-258,44,-84,-78,142,424,688,531,1231,3079,2089,2073,1958,898,995,981,821,441,1898,3000,2776,4992,4105,1630,1098,1811,1204,252,304,-216,-125,334,927,463,98,723,98,-244,497,-12
Севастополь,-5,56,-4,33,-48,1,21,68,15,86,208,334,223,115,99,106,29,62,216,146,173,384,412,141,121,222,171,69,17,17,-20,66,66,7,52,44,107,8,58,-12
Республика Дагестан,-119,91,26,631,2179,337,175,263,506,241,352,635,366,184,175,98,107,324,914,1251,651,510,497,380,342,686,236,-9,35,50,22,148,313,116,225,366,-95,49,287,-36
Республика Ингушетия,-121,-29,-35,72,146,56,29,27,30,16,84,141,-76,12,3,-1,17,52,57,97,90,101,115,194,-56,47,-13,2,14,4,18,-8,24,27,53,118,-93,8,23,4
Кабардино-Балкария,3,-23,21,23,89,281,159,25,136,328,365,321,231,128,65,61,48,25,191,247,203,429,483,379,148,395,139,-19,48,-29,-14,37,35,53,58,192,32,-54,51,-48
