Country,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Germany,w,33624,32734,12093,2.7,0.97,39.1,3.3
Gibraltar,m,6,-33,19,1.7,nan,-98.7,-10.9
Greece,w,4838,6104,1563,3.9,1.26,58.6,4.8
Greenland,m,0,-16,34,0.5,nan,-27.5,-2.9
Guadeloupe,w,155,185,83,2.2,1.19,46.1,5.2
Guatemala,w,4813,10223,704,14.5,2.12,57.1,11.8
Hong Kong,m,148,1650,894,1.8,nan,22.0,3.4
Hungary,w,9667,13330,1725,7.7,1.38,138.0,10.1
Iceland,w,29,-8,63,0.1,nan,-2.5,-0.4
Iran,q,24301,nan,nan,nan,nan,nan,nan
Ireland,m,2197,584,539,1.1,0.27,11.8,1.9
Israel,w,3406,3188,407,7.8,0.94,36.8,6.8
Italy,w,74159,110910,7408,15.0,1.50,183.4,16.9
Jamaica,m,257,nan,nan,nan,nan,nan,nan
Japan,m,3460,-15618,9064,1.7,nan,-12.3,-1.1
Kazakhstan,m,2749,30270,2617,11.6,11.01,161.2,22.8
Kosovo,m,1325,1739,259,6.7,1.31,94.2,18.6
Kyrgyzstan,m,1356,7003,521,13.5,5.16,107.3,21.6
Latvia,w,635,1207,318,3.8,1.90,64.0,4.2
Lebanon,m,1455,2842,752,3.8,1.95,41.6,11.3
Liechtenstein,m,44,46,21,2.2,1.05,121.0,17.1
Lithuania,w,1843,6563,432,15.2,3.56,241.1,17.1
Luxembourg,w,498,241,100,2.4,0.48,38.6,5.3
Macao,m,0,-14,88,0.2,nan,-2.2,-0.6
Malaysia,m,471,-4728,1556,3.0,nan,-14.6,-2.6
Malta,w,215,293,91,3.2,1.36,66.4,7.5
Martinique,w,43,66,77,0.9,1.54,17.7,1.8
Mauritius,m,10,-333,188,1.8,nan,-26.1,-2.9
Mayotte,w,55,124,36,3.5,2.26,45.6,15.6
Mexico,w,124897,308634,5014,61.6,2.47,239.4,40.1
Moldova,m,2985,5393,729,7.4,1.81,133.7,15.2
Monaco,m,3,37,35,1.1,nan,94.9,7.5
Mongolia,m,0,-1310,364,3.6,nan,-40.0,-7.5
Montenegro,w,684,750,144,5.2,1.10,119.5,11.1
