SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
,1823,,,,,,,,African Group,16,Instant replacement zero migration,2023,2023.5,713384.109,715589.247,1428973.356,48.801
,1560,,,,,,,,African Union,2,Medium,2015,2015.5,598729.689,601200.713,1199930.402,40.61
,1560,,,,,,,,African Union,2,Medium,2016,2016.5,614308.181,616611.002,1230919.183,41.659
,1560,,,,,,,,African Union,2,Medium,2017,2017.5,629936.985,632186.949,1262123.934,42.715
,1560,,,,,,,,African Union,2,Medium,2018,2018.5,645963.048,648072.388,1294035.436,43.795
,1560,,,,,,,,African Union,2,Medium,2019,2019.5,662226.253,664225.555,1326451.808,44.892
,1560,,,,,,,,African Union,2,Medium,2020,2020.5,678750.755,680657.646,1359408.401,46.007
,1560,,,,,,,,African Union,2,Medium,2021,2021.5,695264.976,697123.921,1392388.897,47.123
,1560,,,,,,,,African Union,2,Medium,2022,2022.5,711803.988,713626.792,1425430.779,48.242
,1560,,,,,,,,African Union,2,Medium,2023,2023.5,728699.06,730459.608,1459158.668,49.383
,1560,,,,,,,,African Union,3,High,2022,2022.5,712465.512,714268.136,1426733.647,48.286
,1560,,,,,,,,African Union,3,High,2023,2023.5,730692.736,732393.738,1463086.475,49.516
,1560,,,,,,,,African Union,4,Low,2022,2022.5,711142.475,712985.456,1424127.931,48.198
,1560,,,,,,,,African Union,4,Low,2023,2023.5,726705.434,728525.524,1455230.958,49.25
,1560,,,,,,,,African Union,5,Constant fertility,2022,2022.5,711803.988,713626.792,1425430.779,48.242
,1560,,,,,,,,African Union,5,Constant fertility,2023,2023.5,728874.212,730629.551,1459503.762,49.395
,1560,,,,,,,,African Union,6,Instant replacement,2022,2022.5,706638.334,708605.355,1415243.689,47.897
,1560,,,,,,,,African Union,6,Instant replacement,2023,2023.5,713279.615,715457.724,1428737.339,48.354
,1560,,,,,,,,African Union,7,Zero migration,2022,2022.5,711944.211,713756.506,1425700.718,48.251
